lista de estados mexicanos

Aguascalientes	Ags.	AS	AG	AGU
Bandera de Baja California Baja California	B.C.	BC	BC	BCN
Bandera de Baja California Sur Baja California Sur	B.C.S.	BS	BS	BCS
Bandera de Campeche Campeche	Camp.	CC	CM	CAM
Bandera de Chiapas Chiapas	Chis.	CS	CS	CHP
Bandera de Chihuahua Chihuahua	Chih.	CH	CH	CHH
Bandera de Coahuila de Zaragoza Coahuila	Coah.	CL	CO	COA
Bandera de Colima Colima	Col.	CM	CL	COL
Bandera de Ciudad de México Ciudad de México	C.D.Mx.	DF	CX α 1​	CMX
Bandera de Durango Durango	Dgo.	DG	DG	DUR
Bandera de Guanajuato Guanajuato	Gto.	GT	GT	GUA
Bandera de Estado de Guerrero Guerrero	Gro.	GR	GR	GRO
Bandera de Estado de Hidalgo Hidalgo	Hgo.	HG	HG	HID
Flag of Jalisco.svg Jalisco	Jal.	JC	JC	JAL
Bandera de Estado de México México	Edo. Méx. α 2​	MC	EM α 3​	MEX
Bandera de Michoacán Michoacán	Mich.	MN	MI	MIC
Bandera de Morelos Morelos	Mor.	MS	MO	MOR
Bandera de Nayarit Nayarit	Nay.	NT	NA	NAY
Bandera de Nuevo León Nuevo León	N.L.	NL	NL	NLE
Bandera de Oaxaca Oaxaca	Oax.	OC	OA	OAX
Bandera de Puebla Puebla	Pue.	PL	PU	PUE
Bandera de Querétaro Querétaro	Qro.	QO	QT	QUE
Bandera de Quintana Roo Quintana Roo	Q.R. α 4​	QR	QR'	ROO
Bandera de San Luis Potosí San Luis Potosí	S.L.P.	SP	SL	SLP
Bandera de Sinaloa Sinaloa	Sin.	SL	SI	SIN
Bandera de Sonora Sonora	Son.	SR	SO	SON
Bandera de Tabasco Tabasco	Tab.	TC	TB	TAB
Bandera de Tamaulipas Tamaulipas	Tamps.	TS	TM	TAM
Bandera de Tlaxcala Tlaxcala	Tlax.	TL	TL	TLA
Bandera de Veracruz de Ignacio de la Llave Veracruz	Ver.	VZ	VE	VER
Bandera de Yucatán Yucatán	Yuc.	YN	YU	YUC
Bandera de Zacatecas Zacatecas	Zac.	ZS	ZA	ZAC
